case,epoch,total,pde,bc,diss,ctrl,energy,var
mx4_mt3,2517,1.376590454549683,0.0067664700638613,0.00017226440001,0.0045141555689347,8.912967360679082e-05,0.2594408513179051,0.2594407516750941
mx4_mt3,2518,1.3765894236143672,0.0067656798642863,0.0001722481159769,0.0045142631475717,8.913004621140163e-05,0.2594408710515186,0.2594407714906716
mx4_mt3,2519,1.3765883962518972,0.0067648924246901,0.0001722318869449,0.0045143703881126,8.913041796717496e-05,0.2594408907401354,0.2594407912609704
mx4_mt3,2520,1.3765873724555129,0.0067641077548859,0.0001722157115609,0.0045144772933593,8.913078799217606e-05,0.2594409103370478,0.2594408109392976
mx4_mt3,2521,1.3765863522184605,0.0067633258553107,0.0001721995892501,0.004514583864608,8.913115594881214e-05,0.259440929824377,0.2594408305077802
mx4_mt3,2522,1.376585335533992,0.0067625467120598,0.0001721835206263,0.0045146901008518,8.913152232846997e-05,0.2594409492281481,0.2594408499924354
mx4_mt3,2523,1.3765843223953662,0.0067617703070115,0.0001721675066526,0.0045147960004065,8.913188786462093e-05,0.2594409685872065,0.2594408694320975
mx4_mt3,2524,1.376583312795846,0.0067609966310574,0.0001721515475456,0.0045149015630368,8.913225276861715e-05,0.259440987912746,0.2594408888379573
mx4_mt3,2525,1.3765823067287015,0.006760225686761,0.000172135642555,0.0045150067903839,8.913261657783779e-05,0.2594410071802662,0.2594409081855222
mx4_mt3,2526,1.3765813041872073,0.0067594574790137,0.0001721197907385,0.0045151116844646,8.9132978696903e-05,0.2594410263582358,0.2594409274432709
mx4_mt3,2527,1.3765803051646444,0.0067586920044387,0.0001721039918399,0.0045152162459666,8.913333900979559e-05,0.2594410454405111,0.259440946605062
mx4_mt3,2528,1.3765793096542984,0.0067579292502515,0.0001720882463827,0.0045153204740635,8.913369794437652e-05,0.2594410644497523,0.2594409656935491
mx4_mt3,2529,1.3765783176494613,0.0067571692026025,0.0001720725549789,0.0045154243677565,8.913405598939737e-05,0.2594410834118441,0.2594409847346094
mx4_mt3,2530,1.3765773291434296,0.0067564118550265,0.0001720569176288,0.0045155279272356,8.913441320642355e-05,0.2594411023300472,0.2594410037315033
mx4_mt3,2531,1.3765763441295054,0.0067556572086419,0.0001720413337051,0.0045156311539135,8.913476921928414e-05,0.2594411211844401,0.2594410226643157
mx4_mt3,2532,1.3765753626009969,0.0067549052648709,0.0001720258025558,0.0045157340492537,8.913512363530488e-05,0.2594411399542272,0.2594410415122575
mx4_mt3,2533,1.3765743845512146,0.0067541560187005,0.0001720103240625,0.0045158366136841,8.913547643454513e-05,0.2594411586383529,0.2594410602742741
mx4_mt3,2534,1.3765734099734772,0.0067534094590123,0.0001719948986133,0.0045159388466473,8.913582795004856e-05,0.2594411772544555,0.2594410789679987
mx4_mt3,2535,1.3765724388611074,0.0067526655748307,0.0001719795265846,0.0045160407476076,8.913617850637649e-05,0.2594411958197241,0.2594410976106155
mx4_mt3,2536,1.3765714712074315,0.0067519243607224,0.0001719642078938,0.0045161423169233,8.913652810770447e-05,0.2594412143343801,0.2594411162023466
mx4_mt3,2537,1.3765705070057828,0.0067511858162155,0.0001719489420479,0.0045162435557546,8.913687647199005e-05,0.259441232783487,0.2594411347282602
mx4_mt3,2538,1.3765695462494976,0.0067504499405019,0.0001719337285823,0.0045163444652097,8.913722333742178e-05,0.2594412511531799,0.2594411531744962
mx4_mt3,2539,1.376568588931917,0.0067497167280752,0.0001719185674219,0.0045164450456396,8.913756871430304e-05,0.259441269444005,0.2594411715416008
mx4_mt3,2540,1.376567635046389,0.0067489861693806,0.0001719034588277,0.0045165452967407,8.913791284717812e-05,0.2594412876689135,0.2594411898425217
mx4_mt3,2541,1.376566684586262,0.0067482582552651,0.0001718884030273,0.0045166452182734,8.91382559573181e-05,0.259441305839624,0.2594412080889747
mx4_mt3,2542,1.376565737544893,0.0067475329805393,0.0001718733999205,0.0045167448106382,8.913859803691742e-05,0.2594413239557234,0.2594412262805471
