case,epoch,total,pde,bc,diss,ctrl,energy,var
mx4_mt3,24,2.1898405563707954,0.1949170099114331,0.0224788041712162,0.0021522098643985,0.0005019148166411,0.2724034554620742,0.2107045489374421
mx4_mt3,25,2.1319676365357605,0.1782799566630551,0.0213258272070823,0.0020674737621035,4.831659378626868e-05,0.2569510138675066,0.1970920667033485
mx4_mt3,26,2.1365606991118105,0.1646744602628971,0.01802150069149,0.0020343321266172,6.060587745357262e-05,0.2422150223215751,0.1846311926458436
mx4_mt3,27,2.124263111304595,0.1676781777961199,0.0149613067733286,0.0021173581390738,0.000153869944044,0.2375955675646156,0.1824388397871514
mx4_mt3,28,2.0989591248079664,0.1801313025961436,0.0171361875832321,0.0022360974436538,3.1242947928957344e-05,0.244410460848249,0.1910009325665271
mx4_mt3,29,2.065988381592707,0.188128944523372,0.01879518310659,0.0022575809530223,5.301240726242799e-05,0.2572809619736974,0.2048934615620844
mx4_mt3,30,2.0786041185241477,0.1902246286680078,0.0197532092851479,0.0022192849384355,0.0002568969365794,0.2660280047597779,0.2142444398390864
mx4_mt3,31,2.067614350167737,0.2026871806217088,0.0186279984588778,0.0023035651581654,0.0002281183766382,0.2651035882040727,0.2144207709037578
mx4_mt3,32,2.019735342154254,0.2177629327753327,0.0148483168102804,0.0024416525462593,6.50126986484209e-05,0.2580630452465815,0.2088433318463889
mx4_mt3,33,2.041051101724915,0.2030329121100779,0.0157113472753382,0.0024375487051333,1.3222606581006576e-06,0.2488501040664039,0.2014908557073356
mx4_mt3,34,2.067129809398013,0.1973455008697118,0.0170966592166486,0.0024415722595627,2.5023494281346946e-05,0.2449976511235873,0.2002362053433789
mx4_mt3,35,2.0034521596253883,0.1992010978810555,0.0144647079751091,0.0024676628659845,1.1461103607241272e-05,0.2466145748262232,0.2049654960907182
mx4_mt3,36,1.983650675035605,0.2028056581301439,0.0166001494146332,0.0025054189943306,3.240694177972855e-05,0.2556927095288385,0.2175596790348211
mx4_mt3,37,2.005807167626913,0.2057669238780636,0.0190027215710725,0.0025159620399084,0.0001830898672536,0.2635310704400532,0.2280251150224797
mx4_mt3,38,1.9754702350102984,0.208738909012956,0.0172679143829018,0.0025325571413579,0.00020138490671,0.2641910149992884,0.2305350476719679
mx4_mt3,39,1.9472836028400928,0.1990374723789492,0.0160426052658799,0.0025850654671733,2.179584599134093e-05,0.2546686021453258,0.222425383897712
mx4_mt3,40,1.951786251913788,0.1934134940856303,0.014796495422655,0.0026159633744312,1.256935234754957e-05,0.2464546717574321,0.2157085656097934
mx4_mt3,41,1.9373761843501047,0.1961989937112364,0.0141856121829208,0.0026015789974304,1.2808304634670742e-05,0.2464211308162115,0.2174584996759465
mx4_mt3,42,1.9127897699516556,0.1899806315520789,0.0162043866571061,0.0025995475214028,4.326141950752773e-05,0.2565773413707612,0.2296946151837429
mx4_mt3,43,1.912366973889644,0.2021989097410992,0.0160283723297936,0.0026950427753298,0.0001868386895935,0.2636688949660745,0.2387634727802082
